id;start_date;end_date;language
1;2021-02-11T20:08:34;2021-02-11T17:58:49;SPANISH
2;2021-02-11T00:58:45;2021-02-11T20:03:10;SPANISH
3;2021-02-11T15:54:04;2021-02-11T02:28:13;FRENCH
4;2021-02-11T07:11:35;2021-02-11T18:43:01;FRENCH
5;2021-02-11T16:41:53;2021-02-11T21:28:52;FRENCH
6;2021-02-11T10:34:14;2021-02-11T22:42:28;FRENCH
7;2021-02-11T12:19:34;2021-02-11T06:10:25;FRENCH
8;2021-02-11T11:15:47;2021-02-11T21:31:55;SPANISH
9;2021-02-11T09:56:56;2021-02-11T06:38:19;SPANISH
10;2021-02-11T18:09:00;2021-02-11T04:43:30;SPANISH
